P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
11 Com b,6165.8633,326.03,1.29,93.37,2.7,19,4742,1.3244178,101.01141,799.44963,163.5468,0,0,0,0.083813263
11 UMi b,4684.7848,516.21997,1.53,125.72,2.78,29.79,4213,1.534896,107.35118,819.07569,250.49294,0,0,0,0.082414476
14 And b,1525.5744,185.84,0.83,75.59,2.2,11,4813,0.83,84.446427,772.30746,58.175144,0,0,0,0.081917127
14 Her b,1481.0785,1773.4,2.93,17.94,0.9,0.93,5338,3.1305585,0.078886561,131.38424,0.62917118,0,0,0,0.14524062
16 Cyg B b,565.73385,798.5,1.66,21.15,1.08,1.13,5750,2.043792,0.61897215,202.22783,1.2505956,1,1,0,0.36862709
18 Del b,3273.6284,993.3,2.6,76.38,2.3,8.5,4979,2.60832,5.9039479,396.65045,39.782769,0,0,0,0.21617437
1RXS J160929.1-210524 b,2542.624,,330,145,0.85,,4060,330,,,,0,0,0,
24 Boo b,289.22348,30.3506,0.19,96.25,0.99,10.64,4893,0.19016758,1611.9403,1613.7579,58.139697,0,0,0,0.065684936
24 Sex b,632.47773,452.8,1.333,72.21,1.54,4.9,5098,1.3383987,8.2108078,430.60546,14.530486,0,0,0,0.17730446
24 Sex c,273.33208,883,2.08,72.21,1.54,4.9,5098,2.167464,3.5093722,343.04216,14.530486,0,0,0,0.2724776
2MASS J01225093-2439505 b,7786.7861,,52,36,0.4,,3530,52,,,,0,0,0,
2MASS J02192210-3925225 b,4417.8092,,156,39.4,0.11,0.28,3064,156,2.54E-07,5.7216666,0.006190985,0,0,0,0.056530021
2MASS J04414489+2301513 b,2383.71,,15,140,0.02,,,15,,,,0,0,0,
